(гелевые типсы для ногтей)|200008934|yes|common||elasticsearch|--context-subject="типс" --query="гелевые типсы для ногтей" --max-product=35000|presets/bucket_222|preset=200008934|()
(очечник женский)|200000005|yes|common||elasticsearch|--query="очечник женский" --max-product=35000|presets/bucket_582|preset=200000005|()
(стикеры геншин)|200008936|yes|common||elasticsearch|--context-subject="стикеры" --query="стикеры геншин" --max-product=35000|presets/bucket_229|preset=200008936|()
(набор парню)|200008937|yes|common||elasticsearch|--query="набор парню" --max-product=35000|presets/bucket_222|preset=200008937|()
(именные подарки андрей)|200000013|yes|common||elasticsearch|--query="именные подарки андрей" --max-product=35000|presets/bucket_542|preset=200000013|()
(какао золотой ярлык)|200000012|yes|common||elasticsearch|--query="какао золотой ярлык" --max-product=35000|presets/bucket_334|preset=200000012|()
(постеры интерьерные в раме)|200000015|yes|common||elasticsearch|--context-subject="постер в раме" --query="постеры интерьерные в раме" --max-product=35000|presets/bucket_229|preset=200000015|()
(сетка со стразами)|2467|yes|common||elasticsearch|--query="сетка со стразами" --max-product=35000|presets/bucket_151|preset=2467|()
(свитер женский рваный)|200008939|yes|common||elasticsearch|--context-subject="свитер" --query="свитер женский рваный" --max-product=35000|presets/bucket_28|preset=200008939|()
(столик для завтрака)|200000016|yes|common||elasticsearch|--query="столик для завтрака" --max-product=35000|presets/bucket_600|preset=200000016|()
(тюнер для гитары)|200008941|yes|common||elasticsearch|--context-subject="тюнер для гитары" --query="тюнер для гитары" --max-product=35000|presets/bucket_228|preset=200008941|()
(набор бархатные ручки)|200008942|yes|common||elasticsearch|--query="набор бархатные ручки" --max-product=35000|presets/bucket_225|preset=200008942|()
(набор бабушке)|200000020|yes|common||elasticsearch|--query="набор бабушке" --max-product=35000|presets/bucket_566|preset=200000020|()
(вакуумный рулон)|200008944|yes|common||elasticsearch|--query="вакуумный рулон" --max-product=35000|presets/bucket_227|preset=200008944|()
(цветочный горшок)|200008945|yes|common||elasticsearch|--context-subject="цветочный горшок" --query="цветочный горшок" --max-product=35000|presets/bucket_228|preset=200008945|()
(термо паста)|200000025|yes|common||elasticsearch|--query="термо паста" --max-product=35000|presets/bucket_221|preset=200000025|()
(nordman сапоги детские)|200000006|yes|common||elasticsearch|--context-subject="сапоги" --query="nordman сапоги детские" --max-product=35000|presets/bucket_606|preset=200000006|()
(полочка для лаков)|200008948|yes|common||elasticsearch|--query="полочка для лаков" --max-product=35000|presets/bucket_223|preset=200008948|()
(гримерный столик с зеркалом)|200000028|yes|common||elasticsearch|--context-subject="гримерный столик" --query="гримерный столик с зеркалом" --max-product=35000|presets/bucket_95|preset=200000028|()
(куртка весенняя женская короткая)|200008949|yes|common||elasticsearch|--context-subject="куртка" --query="куртка весенняя женская короткая" --max-product=35000|presets/bucket_299|preset=200008949|()
(постеьное белье 2 спальное сатин)|200000022|yes|common||elasticsearch|--context-subject="постельное белье" --query="постельное белье 2 спальное сатин" --max-product=35000|presets/bucket_529|preset=200000022|()
(кроватка для новорожденного)|200000003|yes|common||elasticsearch|--context-subject="кроватка для новорожденных" --query="кроватка для новорожденного" --max-product=35000|presets/bucket_533|preset=200000003|()
(куртки мужские весна с капюшоном)|200000026|yes|common||elasticsearch|--context-subject="куртка" --query="куртки мужские весна с капюшоном" --max-product=35000|presets/bucket_639|preset=200000026|()
(кнопки альфа)|200008953|yes|common||elasticsearch|--query="кнопки альфа" --max-product=35000|presets/bucket_225|preset=200008953|()
(костюм из игры в кальмара)|200008954|yes|common||elasticsearch|--context-subject="карнавальные костюмы" --query="костюм из игры в кальмара" --max-product=35000|presets/bucket_330|preset=200008954|()
(сувенир к 8 марта)|200008955|yes|common||elasticsearch|--context-subject="сувенир" --query="сувенир к 8 марта" --max-product=35000|presets/bucket_222|preset=200008955|()
(мем игра настольная)|200000037|yes|common||elasticsearch|--query="мем игра настольная" --max-product=35000|presets/bucket_468|preset=200000037|()
(алмазная мозаика гарри поттер)|200000036|yes|common||elasticsearch|--context-subject="алмазная мозаика" --query="алмазная мозаика гарри поттер" --max-product=35000|presets/bucket_420|preset=200000036|()
(садовая качель)|200008957|yes|common||elasticsearch|--query="садовая качель" --max-product=35000|presets/bucket_333|preset=200008957|()
(m7 pro max)|200000040|yes|common||elasticsearch|--query="m7 pro max" --max-product=35000|presets/bucket_573|preset=200000040|()
(кофта для фигурного катания)|200008959|yes|common||elasticsearch|--context-subject="кофта спортивная" --query="кофта для фигурного катания" --max-product=35000|presets/bucket_131|preset=200008959|()
(кактус хаги ваги)|200008960|yes|common||elasticsearch|--context-subject="игрушки интерактивные" --query="кактус хаги ваги" --max-product=35000|presets/bucket_185|preset=200008960|()
(madshus)|200008961|yes|common||elasticsearch|--query="madshus" --max-product=35000|presets/bucket_127|preset=200008961|()
(я в своем познании)|200008962|yes|common||elasticsearch|--query="я в своем познании" --max-product=35000|presets/bucket_352|preset=200008962|()
(бамбинизон комбинезон)|200000047|yes|common||elasticsearch|--context-subject="комбинезон" --query="бамбинизон комбинезон" --max-product=35000|presets/bucket_602|preset=200000047|()
(redmi watch 2 lite)|200000043|yes|common||elasticsearch|--context-subject="смарт-часы" --query="redmi watch 2 lite" --max-product=35000|presets/bucket_573|preset=200000043|()
(семейные документы)|200008965|yes|common||elasticsearch|--query="семейные документы" --max-product=35000|presets/bucket_229|preset=200008965|()
(набор для рук)|200008966|yes|common||elasticsearch|--query="набор для рук" --max-product=35000|presets/bucket_229|preset=200008966|()
(волшебная палочка гарри поттера)|200008967|yes|common||elasticsearch|--context-subject="волшебный палочка" --query="волшебная палочка гарри поттера" --max-product=35000|presets/bucket_225|preset=200008967|()
(идеи подарков на 8 марта)|200008968|yes|common||elasticsearch|--query="идеи подарков на 8 марта" --max-product=35000|presets/bucket_226|preset=200008968|()
(поп)|200008969|yes|common||elasticsearch|--context-subject="игрушка антистресс" --query="поп" --max-product=35000|presets/bucket_227|preset=200008969|()
(духи амвей)|200008970|yes|common||elasticsearch|--context-subject="духи" --query="духи амвей" --max-product=35000|presets/bucket_222|preset=200008970|()
(духи амвей)|200000088|yes|common||elasticsearch|--context-brand="amway" --query="духи amway" --max-product=35000|presets/bucket_428|preset=200000088|()
(краски для холста)|200008971|yes|common||elasticsearch|--query="краски для холста" --max-product=35000|presets/bucket_227|preset=200008971|()
(костюм кошки детский)|200008972|yes|common||elasticsearch|--context-subject="карнавальные костюмы" --query="костюм кошки детский" --max-product=35000|presets/bucket_131|preset=200008972|()
(бумажные трубочки)|200000057|yes|common||elasticsearch|--query="бумажные трубочки" --max-product=35000|presets/bucket_613|preset=200000057|()
(h&m детская одежда)|200000058|yes|common||elasticsearch|--context-subject="одежда" --query="h&m детская одежда" --max-product=35000|presets/bucket_527|preset=200000058|()
(gorod masterov)|200008975|yes|common||elasticsearch|--query="gorod masterov" --max-product=35000|presets/bucket_223|preset=200008975|()
(атопик крем)|200008976|yes|common||elasticsearch|--context-subject="кремы" --query="атопик крем" --max-product=35000|presets/bucket_222|preset=200008976|()
(олдос демисезон)|200008977|yes|common||elasticsearch|--query="олдос демисезон" --max-product=35000|presets/bucket_223|preset=200008977|()
(boulevard depo)|200008978|yes|common||elasticsearch|--query="boulevard depo" --max-product=35000|presets/bucket_229|preset=200008978|()
(щетка для уборки шерсти)|200000060|yes|common||elasticsearch|--context-subject="щетки для уборки" --query="щетка для уборки шерсти" --max-product=35000|presets/bucket_591|preset=200000060|()
(мыло для взрослых)|200000064|yes|common||elasticsearch|--context-subject="мыло" --query="мыло для взрослых" --max-product=35000|presets/bucket_486|preset=200000064|()
(кошелек кожа)|200008981|yes|common||elasticsearch|--context-subject="кошельки" --query="кошелек кожа" --max-product=35000|presets/bucket_228|preset=200008981|()
(выпускник начальной школы)|200008982|yes|common||elasticsearch|--query="выпускник начальной школы" --max-product=35000|presets/bucket_225|preset=200008982|()
(набор для украшений)|200008983|yes|common||elasticsearch|--query="набор для украшений" --max-product=35000|presets/bucket_227|preset=200008983|()
(bershka толстовка)||yes|common||||brands/b|brand=106259&subject=233;5214|()
(брелки геншин)|200008984|yes|common||elasticsearch|--context-subject="брелок" --query="брелки геншин" --max-product=35000|presets/bucket_33|preset=200008984|()
(колонки автомобильные)|200008985|yes|common||elasticsearch|--context-subject="колонка автомобильная" --query="колонки автомобильные" --max-product=35000|presets/bucket_343|preset=200008985|()
(акриловый герметик)|200008986|yes|common||elasticsearch|--context-subject="герметик" --query="акриловый герметик" --max-product=35000|presets/bucket_227|preset=200008986|()
(ресницы с пропиткой)|200008987|yes|common||elasticsearch|--query="ресницы с пропиткой" --max-product=35000|presets/bucket_223|preset=200008987|()
(подарок к 8 марта)|230228017|yes|common||catalog|--one-by-one-join --limit=100000 "http://wbxcatalog-ru.wildberries.ru/gift5/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift6/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift7/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift8/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "http://wbxcatalog-ru.wildberries.ru/gift9/catalog?subject=341;340;254;27;317;403;6623;570;662;812;947;268;1834;948;1624" "https://wbxcatalog-ru.wildberries.ru/beauty5/catalog?subject=1952;356" "https://wbxcatalog-ru.wildberries.ru/product/catalog?subject=5186;1054;3568;3569;2878;3511;3390" "https://wbxcatalog-ru.wildberries.ru/gift1/catalog?subject=2884;96" "https://wbxcatalog-ru.wildberries.ru/premium/catalog?subject=341;352;403" "https://wbxcatalog-ru.wildberries.ru/electronic2/catalog?subject=593" "https://wbxcatalog-ru.wildberries.ru/jewellery/catalog?subject=951;952;1237;3663;3974;6215;6312" "https://wbxcatalog-ru.wildberries.ru/housewear_root/catalog?subject=162" @sort: --apply-self-ranker-sales=false --apply-self-ranker-views=false|presets/bucket_236|preset=230228017|()
(костюм женский для дома)|200008989|yes|common||elasticsearch|--query="костюм женский для дома" --max-product=35000|presets/bucket_131|preset=200008989|()
(защитное стекло iphone 13 mini)|200000035|yes|common||elasticsearch|--context-brand="iphone" --context-subject="защитное стекло" --query="защитное стекло iphone 13 mini" --max-product=35000|presets/bucket_83|preset=200000035|()
(8 марта воспитателю)|200008990|yes|common||elasticsearch|--query="8 марта воспитателю" --max-product=35000|presets/bucket_225|preset=200008990|()
(юсб кабель)|200000079|yes|common||elasticsearch|--context-subject="кабели" --query="юсб кабель" --max-product=35000|presets/bucket_574|preset=200000079|()
(футболка с длинным рукавом женская)|200000075|yes|common||elasticsearch|--query="футболка с длинным рукавом женская" --max-product=35000|presets/bucket_636|preset=200000075|()
(леггинсы для фитнеса)|200008993|yes|common||elasticsearch|--context-subject="леггинсы" --query="леггинсы для фитнеса" --max-product=35000|presets/bucket_299|preset=200008993|()
(майка хаги ваги)|200008994|yes|common||elasticsearch|--query="майка хаги ваги" --max-product=35000|presets/bucket_351|preset=200008994|()
(интерактивная копилка)|200008995|yes|common||elasticsearch|--context-subject="копилка" --query="интерактивная копилка" --max-product=35000|presets/bucket_280|preset=200008995|()
(наклейки а4)|200000084|yes|common||elasticsearch|--query="наклейки а4" --max-product=35000|presets/bucket_593|preset=200000084|()
(перчатки кожаные женские)|200008997|yes|common||elasticsearch|--context-subject="перчатки" --query="перчатки кожаные женские" --max-product=35000|presets/bucket_225|preset=200008997|()
(ланика пальто)|200008998|yes|common||elasticsearch|--context-subject="пальто" --query="ланика пальто" --max-product=35000|presets/bucket_225|preset=200008998|()
(кабель oculus link)|200000087|yes|common||elasticsearch|--context-brand="oculus" --context-subject="кабели" --query="кабель oculus link" --max-product=35000|presets/bucket_92|preset=200000087|()
(боксы к 8 марта)|2468|yes|common||elasticsearch|--query="боксы к 8 марта" --max-product=35000|presets/bucket_229|preset=2468|()
(сергей бодров)|200008999|yes|common||elasticsearch|--query="сергей бодров" --max-product=35000|presets/bucket_223|preset=200008999|()
(ботильоны женские демисезонные натуральная кожа)|200000077|yes|common||elasticsearch|--context-subject="ботильоны" --query="ботильоны женские демисезонные натуральная кожа" --max-product=35000|presets/bucket_606|preset=200000077|()
(любимой тете)|200009001|yes|common||elasticsearch|--query="любимой тете" --max-product=35000|presets/bucket_225|preset=200009001|()
(ключница кожаная)|200009002|yes|common||elasticsearch|--context-subject="ключница" --query="ключница кожаная" --max-product=35000|presets/bucket_225|preset=200009002|()
(фоллаут)|200000098|yes|common||elasticsearch|--query="фоллаут" --max-product=35000|presets/bucket_544|preset=200000098|()
(пена для бритья для мужчин набор)|200009004|yes|common||elasticsearch|--context-subject="пена для бритья" --query="пена для бритья для мужчин набор" --max-product=35000|presets/bucket_229|preset=200009004|()
(ручка кпп с подсветкой)|200009005|yes|common||elasticsearch|--query="ручка кпп с подсветкой" --max-product=35000|presets/bucket_340|preset=200009005|()
(товары для дома кухня)|200009006|yes|common||elasticsearch|--query="товары для дома кухня" --max-product=35000|presets/bucket_310|preset=200009006|()
(к себе нежно ежедневник)|200000101|yes|common||elasticsearch|--query="к себе нежно ежедневник" --max-product=35000|presets/bucket_503|preset=200000101|()
(зайчик для зубочисток)|200009008|yes|common||elasticsearch|--query="зайчик для зубочисток" --max-product=35000|presets/bucket_73|preset=200009008|()
(свитер женский с горлом)|200009009|yes|common||elasticsearch|--context-subject="свитер" --query="свитер женский с горлом" --max-product=35000|presets/bucket_9|preset=200009009|()
(убрать шерсть с ковра)|200000105|yes|common||elasticsearch|--query="убрать шерсть с ковра" --max-product=35000|presets/bucket_591|preset=200000105|()
(обложка для стс)|200000110|yes|common||elasticsearch|--context-subject="обложка" --query="обложка для стс" --max-product=35000|presets/bucket_630|preset=200000110|()
(медуница)|200009012|yes|common||elasticsearch|--query="медуница" --max-product=35000|presets/bucket_225|preset=200009012|()
(тушь коллаген)|200009013|yes|common||elasticsearch|--context-subject="туши" --query="тушь коллаген" --max-product=35000|presets/bucket_222|preset=200009013|()
(скребок для ковров)|200009014|yes|common||elasticsearch|--query="скребок для ковров" --max-product=35000|presets/bucket_301|preset=200009014|()
(вышивка на сетке)|200009015|yes|common||elasticsearch|--query="вышивка на сетке" --max-product=35000|presets/bucket_228|preset=200009015|()
(картина наруто)|200009016|yes|common||elasticsearch|--query="картина наруто" --max-product=35000|presets/bucket_366|preset=200009016|()
(иконки игра)|200009017|yes|common||elasticsearch|--query="иконки игра" --max-product=35000|presets/bucket_229|preset=200009017|()
(ободок черный)|200009018|yes|common||elasticsearch|--context-subject="ободки" --query="ободок черный" --max-product=35000|presets/bucket_228|preset=200009018|()
(соляная лампа)|200009019|yes|common||elasticsearch|--query="соляная лампа" --max-product=35000|presets/bucket_227|preset=200009019|()
(крафт пакеты с ручками)|200009020|yes|common||elasticsearch|--query="крафт пакеты с ручками" --max-product=35000|presets/bucket_222|preset=200009020|()
(костюм кошки для девочки)|200009021|yes|common||elasticsearch|--context-subject="карнавальные костюмы" --query="костюм кошки для девочки" --max-product=35000|presets/bucket_131|preset=200009021|()
(пабло)|200009022|yes|common||elasticsearch|--query="пабло" --max-product=35000|presets/bucket_228|preset=200009022|()